year,race,driver,team,quali_position,quali_time_sec,delta_to_pole,avg_race_pace,median_race_pace,stint_count,pit_stops,final_position,fp2_avg_pace,fp2_med_pace,fp2_laps,sprint_avg_pace,sprint_med_pace,sprint_laps,pace_fp2sprint_avg,pace_fp2sprint_med,pace_fp2sprint_laps,quali_normalized,pace_ratio,pace_fp2sprint_ratio,race_variability
2024,Bahrain Grand Prix,TSU,RB,11.0,90.129,0.9500000000000028,98.46828571428571,97.6885,3.0,2,14,92.8864,92.884,5.0,96.9850833325,96.95150000000001,18.0,92.8864,92.884,5.0,0.55,1.0079823696165435,1.0000258386805048,0.007982369616543486
2024,Bahrain Grand Prix,STR,Aston Martin,12.0,90.2,1.0210000000000008,98.2097894736842,97.175,3.0,2,10,91.6885,91.692,4.0,96.9850833325,96.95150000000001,18.0,91.6885,91.692,4.0,0.6,1.0106487211081472,0.9999618287309691,0.01064872110814715
2024,Bahrain Grand Prix,ALB,Williams,13.0,90.221,1.0420000000000016,98.51121428571427,97.943,3.0,2,15,91.84525,91.817,4.0,96.9850833325,96.95150000000001,18.0,91.84525,91.817,4.0,0.65,1.005801479286057,1.0003076772275288,0.005801479286056956
2024,Bahrain Grand Prix,RIC,RB,14.0,90.278,1.0990000000000038,98.45892857142856,97.8185,3.0,2,13,92.31775,92.281,4.0,96.9850833325,96.95150000000001,18.0,92.31775,92.281,4.0,0.7,1.0065471109394293,1.000398240157779,0.006547110939429226
2024,Bahrain Grand Prix,MAG,Haas F1 Team,15.0,90.529,1.3499999999999943,98.44746428571428,97.947,3.0,2,12,92.10925,91.9705,4.0,96.9850833325,96.95150000000001,18.0,92.10925,91.9705,4.0,0.75,1.0051095417492548,1.0015086359213008,0.00510954174925493
2024,Bahrain Grand Prix,BOT,Kick Sauber,16.0,90.756,1.5769999999999982,98.50374545454544,97.918,3.0,2,19,92.4245,92.385,4.0,96.9850833325,96.95150000000001,18.0,92.4245,92.385,4.0,0.8,1.0059819997808925,1.0004275585863505,0.005981999780892498
2024,Bahrain Grand Prix,ZHO,Kick Sauber,17.0,90.757,1.578000000000003,98.41966071428573,97.459,3.0,2,11,92.85825,92.6035,4.0,96.9850833325,96.95150000000001,18.0,92.85825,92.6035,4.0,0.85,1.0098570754295213,1.0027509759350348,0.009857075429521366
2024,Bahrain Grand Prix,SAR,Williams,18.0,90.77,1.590999999999994,99.32735185185184,97.781,4.0,3,20,92.889833333,92.3705,6.0,96.9850833325,96.95150000000001,18.0,92.889833333,92.3705,6.0,0.9,1.0158144409634984,1.0056222856106656,0.015814440963498412
2024,Bahrain Grand Prix,OCO,Alpine,19.0,90.793,1.6140000000000043,98.86057142857145,98.0845,3.0,2,17,92.663,92.674,4.0,96.9850833325,96.95150000000001,18.0,92.663,92.674,4.0,0.95,1.007912273892118,0.999881304357209,0.007912273892117933
2024,Bahrain Grand Prix,GAS,Alpine,20.0,90.948,1.7689999999999912,98.8778392857143,97.9085,4.0,3,18,92.30425,92.345,4.0,96.9850833325,96.95150000000001,18.0,92.30425,92.345,4.0,1.0,1.0099004609989357,0.9995587200173263,0.009900460998935722
2024,Saudi Arabian Grand Prix,VER,Red Bull Racing,1.0,87.472,0.0,93.60822916666666,92.8405,2.0,1,1,92.483357142,93.911,14.0,96.9850833325,96.95150000000001,18.0,92.483357142,93.911,14.0,0.05,1.0082693346833187,0.9847979165592955,0.008269334683318754
2024,Saudi Arabian Grand Prix,LEC,Ferrari,2.0,87.791,0.3190000000000026,94.10120833333332,93.3345,2.0,1,3,93.034833333,94.307,12.0,96.9850833325,96.95150000000001,18.0,93.034833333,94.307,12.0,0.1,1.0082146294599887,0.9865103686152671,0.008214629459988668
2024,Saudi Arabian Grand Prix,PER,Red Bull Racing,3.0,87.807,0.3350000000000079,93.86772916666666,92.9,2.0,1,2,93.65817647,94.318,17.0,96.9850833325,96.95150000000001,18.0,93.65817647,94.318,17.0,0.15,1.0104168909221385,0.9930042671600331,0.010416890922138402
2024,Saudi Arabian Grand Prix,ALO,Aston Martin,4.0,87.846,0.3740000000000094,94.55775,93.852,2.0,1,5,93.204615384,94.618,13.0,96.9850833325,96.95150000000001,18.0,93.204615384,94.618,13.0,0.2,1.0075198184375398,0.9850622015261367,0.0075198184375399
2024,Saudi Arabian Grand Prix,PIA,McLaren,5.0,88.089,0.6170000000000044,94.4689375,93.754,2.0,1,4,92.1695,92.705,8.0,96.9850833325,96.95150000000001,18.0,92.1695,92.705,8.0,0.25,1.007625674637882,0.9942236125343833,0.007625674637882017
2024,Saudi Arabian Grand Prix,NOR,McLaren,6.0,88.132,0.6600000000000108,94.85802083333334,93.745,2.0,1,8,92.739888888,94.179,9.0,96.9850833325,96.95150000000001,18.0,92.739888888,94.179,9.0,0.3,1.011872855441179,0.9847194054725575,0.011872855441179124
2024,Saudi Arabian Grand Prix,RUS,Mercedes,7.0,88.316,0.8440000000000083,94.7531875,93.926,2.0,1,6,92.050875,92.3945,8.0,96.9850833325,96.95150000000001,18.0,92.050875,92.3945,8.0,0.35,1.0088068000340693,0.9962808933432186,0.008806800034069306
2024,Saudi Arabian Grand Prix,HAM,Mercedes,8.0,88.46,0.9879999999999995,94.95504166666667,93.967,2.0,1,9,92.306142857,91.411,7.0,96.9850833325,96.95150000000001,18.0,92.306142857,91.411,7.0,0.4,1.0105147729167332,1.0097925069958757,0.010514772916733264
2024,Saudi Arabian Grand Prix,TSU,RB,9.0,88.547,1.0750000000000028,97.27591666666667,95.582,2.0,1,15,90.59325,90.801,4.0,96.9850833325,96.95150000000001,18.0,90.59325,90.801,4.0,0.45,1.017722130387172,0.9977120296031982,0.01772213038717207
